date Thu Jul 31 03:38:21.727 PM 2025
base hex  timestamps absolute
internal events logged
Begin Triggerblock Thu Jul 31 03:38:21.742 PM 2025
 0.000000 Start of measurement
 0.000000 CANFD   1 Tx        716                                   1 0 8  8 03 22 F1 DD 00 00 00 00        0    0     3000        0        0        0        0        0
 0.020415 CANFD   1 Rx        71E                                   1 0 8  8 10 0B 62 F1 DD 30 31 2E        0    0     3000        0        0        0        0        0
 0.027395 CANFD   1 Tx        716                                   1 0 8  8 30 08 64 00 00 00 00 00        0    0     3000        0        0        0        0        0
 0.030325 CANFD   1 Rx        71E                                   1 0 8  8 21 30 30 2E 30 31 AA AA        0    0     3000        0        0        0        0        0
 0.142433 CANFD   1 Tx        716                                   1 0 8  8 03 22 F1 00 00 00 00 00        0    0     3000        0        0        0        0        0
 20.844010 1  ErrorFrame
 20.844017 1  ErrorFrame
 20.844024 1  ErrorFrame
 21.861437 1  ErrorFrame
 22.942023 1  ErrorFrame
 22.942065 1  ErrorFrame
 22.942081 1  ErrorFrame
 22.942092 1  ErrorFrame
 22.942102 1  ErrorFrame
 22.942111 1  ErrorFrame
 22.942774 1  ErrorFrame
 22.942790 1  ErrorFrame
 22.942798 1  ErrorFrame
 22.942810 1  ErrorFrame
 22.942819 1  ErrorFrame
 22.942827 1  ErrorFrame
 22.942835 1  ErrorFrame
 22.942856 1  ErrorFrame
 22.942864 1  ErrorFrame
 22.943041 1  ErrorFrame
 22.943053 1  ErrorFrame
 22.943321 1  ErrorFrame
 22.943331 1  ErrorFrame
 22.943343 1  ErrorFrame
 22.943612 1  ErrorFrame
 22.943626 1  ErrorFrame
 22.943634 1  ErrorFrame
 22.943888 1  ErrorFrame
 22.943899 1  ErrorFrame
 22.943905 1  ErrorFrame
 22.944073 1  ErrorFrame
 22.944087 1  ErrorFrame
 22.944347 1  ErrorFrame
 22.944357 1  ErrorFrame
 23.973410 1  ErrorFrame
 26.025608 1  ErrorFrame
 26.025647 1  ErrorFrame
 26.025655 1  ErrorFrame
 26.025672 1  ErrorFrame
 26.025805 1  ErrorFrame
 26.026429 1  ErrorFrame
 26.026443 1  ErrorFrame
 26.026454 1  ErrorFrame
 26.026464 1  ErrorFrame
 26.026471 1  ErrorFrame
 26.026479 1  ErrorFrame
 26.026486 1  ErrorFrame
 26.026497 1  ErrorFrame
 26.026507 1  ErrorFrame
 26.026876 1  ErrorFrame
 26.026886 1  ErrorFrame
 26.026894 1  ErrorFrame
 26.026905 1  ErrorFrame
 26.027172 1  ErrorFrame
 26.027181 1  ErrorFrame
 26.027192 1  ErrorFrame
 26.027445 1  ErrorFrame
 26.027453 1  ErrorFrame
 26.027463 1  ErrorFrame
 26.027633 1  ErrorFrame
 26.027640 1  ErrorFrame
 26.027913 1  ErrorFrame
 26.027926 1  ErrorFrame
 27.045410 1  ErrorFrame
 28.128524 1  ErrorFrame
 28.128727 1  ErrorFrame
 28.129722 1  ErrorFrame
 28.129748 1  ErrorFrame
 28.129757 1  ErrorFrame
 28.129766 1  ErrorFrame
 28.129776 1  ErrorFrame
 28.129782 1  ErrorFrame
 28.129789 1  ErrorFrame
 28.129797 1  ErrorFrame
 28.129803 1  ErrorFrame
 28.129810 1  ErrorFrame
 28.129816 1  ErrorFrame
 28.129821 1  ErrorFrame
 28.129827 1  ErrorFrame
 28.129970 1  ErrorFrame
 28.130179 1  ErrorFrame
 28.130188 1  ErrorFrame
 28.130286 1  ErrorFrame
 28.130638 1  ErrorFrame
 28.130652 1  ErrorFrame
 28.130658 1  ErrorFrame
 28.130666 1  ErrorFrame
 28.130922 1  ErrorFrame
 28.130930 1  ErrorFrame
 28.130935 1  ErrorFrame
 28.131176 1  ErrorFrame
 28.131187 1  ErrorFrame
 29.157405 1  ErrorFrame
 30.194721 1  ErrorFrame
 30.194752 1  ErrorFrame
 30.194759 1  ErrorFrame
 30.194766 1  ErrorFrame
 30.194772 1  ErrorFrame
 30.194778 1  ErrorFrame
 30.194784 1  ErrorFrame
 30.195142 1  ErrorFrame
 30.195158 1  ErrorFrame
 30.195166 1  ErrorFrame
 30.195172 1  ErrorFrame
 30.195180 1  ErrorFrame
 30.195394 1  ErrorFrame
 30.195411 1  ErrorFrame
 30.195419 1  ErrorFrame
 30.195753 1  ErrorFrame
 30.195765 1  ErrorFrame
 30.195773 1  ErrorFrame
 30.195779 1  ErrorFrame
 30.196047 1  ErrorFrame
 30.196057 1  ErrorFrame
 30.196063 1  ErrorFrame
 30.196239 1  ErrorFrame
 30.196249 1  ErrorFrame
 30.196395 1  ErrorFrame
 30.196604 1  ErrorFrame
 30.196917 1  ErrorFrame
 30.196930 1  ErrorFrame
 30.196937 1  ErrorFrame
 31.205395 1  ErrorFrame
 32.296144 1  ErrorFrame
 32.296189 1  ErrorFrame
 32.296199 1  ErrorFrame
 32.296206 1  ErrorFrame
 32.296215 1  ErrorFrame
 32.296222 1  ErrorFrame
 32.296425 1  ErrorFrame
 32.296436 1  ErrorFrame
 32.296875 1  ErrorFrame
 32.296884 1  ErrorFrame
 32.296890 1  ErrorFrame
 32.296896 1  ErrorFrame
 32.296902 1  ErrorFrame
 32.296909 1  ErrorFrame
 32.296915 1  ErrorFrame
 32.297037 1  ErrorFrame
 32.297624 1  ErrorFrame
 32.297640 1  ErrorFrame
 32.297647 1  ErrorFrame
 32.297654 1  ErrorFrame
 32.297660 1  ErrorFrame
 32.297670 1  ErrorFrame
 32.297799 1  ErrorFrame
 32.297990 1  ErrorFrame
 32.297999 1  ErrorFrame
 32.298178 1  ErrorFrame
 32.298187 1  ErrorFrame
 32.298447 1  ErrorFrame
 32.298460 1  ErrorFrame
 33.317436 1  ErrorFrame
 36.389671 1  ErrorFrame
 36.389776 1  ErrorFrame
 36.389787 1  ErrorFrame
 36.389802 1  ErrorFrame
 36.389812 1  ErrorFrame
 36.389823 1  ErrorFrame
 36.389834 1  ErrorFrame
 36.389843 1  ErrorFrame
 36.389855 1  ErrorFrame
 36.389867 1  ErrorFrame
 36.389875 1  ErrorFrame
 36.389887 1  ErrorFrame
 36.389897 1  ErrorFrame
 36.389906 1  ErrorFrame
 36.389917 1  ErrorFrame
 36.389926 1  ErrorFrame
 36.390807 1  ErrorFrame
 36.390846 1  ErrorFrame
 36.390858 1  ErrorFrame
 36.390872 1  ErrorFrame
 36.390883 1  ErrorFrame
 37.413413 1  ErrorFrame
 38.547260 1  ErrorFrame
 38.547309 1  ErrorFrame
 38.547316 1  ErrorFrame
 38.547328 1  ErrorFrame
 38.547341 1  ErrorFrame
 38.548790 1  ErrorFrame
 38.548837 1  ErrorFrame
 38.548851 1  ErrorFrame
 38.548858 1  ErrorFrame
 38.548869 1  ErrorFrame
 38.548878 1  ErrorFrame
 38.548889 1  ErrorFrame
 38.548899 1  ErrorFrame
 38.548906 1  ErrorFrame
 38.549572 1  ErrorFrame
 38.549598 1  ErrorFrame
 38.549610 1  ErrorFrame
 39.557408 1  ErrorFrame
 40.679384 1  ErrorFrame
 40.679426 1  ErrorFrame
 40.679433 1  ErrorFrame
 40.679441 1  ErrorFrame
 40.679448 1  ErrorFrame
 40.679456 1  ErrorFrame
 40.679867 1  ErrorFrame
 40.679883 1  ErrorFrame
 40.679890 1  ErrorFrame
 40.679899 1  ErrorFrame
 40.679905 1  ErrorFrame
 40.680113 1  ErrorFrame
 40.680124 1  ErrorFrame
 40.680130 1  ErrorFrame
 40.680306 1  ErrorFrame
 40.680316 1  ErrorFrame
 40.680486 1  ErrorFrame
 40.680495 1  ErrorFrame
 40.680687 1  ErrorFrame
 40.680697 1  ErrorFrame
 40.680965 1  ErrorFrame
 40.680978 1  ErrorFrame
 40.680985 1  ErrorFrame
 40.681325 1  ErrorFrame
 40.681342 1  ErrorFrame
 40.681385 1  ErrorFrame
 40.681392 1  ErrorFrame
 40.681682 1  ErrorFrame
 40.681697 1  ErrorFrame
 41.701475 1  ErrorFrame
 44.747447 1  ErrorFrame
 44.747508 1  ErrorFrame
 44.747520 1  ErrorFrame
 44.747532 1  ErrorFrame
 44.747542 1  ErrorFrame
 44.749937 1  ErrorFrame
 44.749989 1  ErrorFrame
 44.750002 1  ErrorFrame
 44.750015 1  ErrorFrame
 44.750026 1  ErrorFrame
 44.750036 1  ErrorFrame
 44.750046 1  ErrorFrame
 44.750061 1  ErrorFrame
 44.750072 1  ErrorFrame
 44.750081 1  ErrorFrame
 44.750092 1  ErrorFrame
 44.750104 1  ErrorFrame
 44.750116 1  ErrorFrame
 44.750126 1  ErrorFrame
 44.750139 1  ErrorFrame
 44.750149 1  ErrorFrame
 44.750161 1  ErrorFrame
 45.765412 1  ErrorFrame
 46.801030 1  ErrorFrame
 46.801075 1  ErrorFrame
 46.801085 1  ErrorFrame
 46.801093 1  ErrorFrame
 46.801102 1  ErrorFrame
 46.801116 1  ErrorFrame
 46.801123 1  ErrorFrame
 46.801800 1  ErrorFrame
 46.801826 1  ErrorFrame
 46.801833 1  ErrorFrame
 46.801841 1  ErrorFrame
 46.801847 1  ErrorFrame
 46.801856 1  ErrorFrame
 46.801863 1  ErrorFrame
 46.801871 1  ErrorFrame
 46.801992 1  ErrorFrame
 46.802148 1  ErrorFrame
 46.802541 1  ErrorFrame
 46.802556 1  ErrorFrame
 46.802563 1  ErrorFrame
 46.802570 1  ErrorFrame
 46.803225 1  ErrorFrame
 46.803251 1  ErrorFrame
 46.803263 1  ErrorFrame
 46.803270 1  ErrorFrame
 46.803278 1  ErrorFrame
 47.813409 1  ErrorFrame
 48.827846 1  ErrorFrame
 48.827897 1  ErrorFrame
 48.827907 1  ErrorFrame
 48.827914 1  ErrorFrame
 48.827922 1  ErrorFrame
 48.827933 1  ErrorFrame
 48.828681 1  ErrorFrame
 48.828699 1  ErrorFrame
 48.828710 1  ErrorFrame
 48.828717 1  ErrorFrame
 48.828724 1  ErrorFrame
 48.828731 1  ErrorFrame
 48.828741 1  ErrorFrame
 48.828754 1  ErrorFrame
 48.828761 1  ErrorFrame
 48.828770 1  ErrorFrame
 48.828778 1  ErrorFrame
 48.828934 1  ErrorFrame
 48.829153 1  ErrorFrame
 48.829513 1  ErrorFrame
 48.829532 1  ErrorFrame
 48.829540 1  ErrorFrame
 48.829684 1  ErrorFrame
 48.829898 1  ErrorFrame
 48.829910 1  ErrorFrame
 48.830236 1  ErrorFrame
 48.830254 1  ErrorFrame
 49.861430 1  ErrorFrame
 50.890703 1  ErrorFrame
 50.890781 1  ErrorFrame
 50.890796 1  ErrorFrame
 50.890810 1  ErrorFrame
 50.890822 1  ErrorFrame
 50.890836 1  ErrorFrame
 50.890848 1  ErrorFrame
 50.890862 1  ErrorFrame
 50.890876 1  ErrorFrame
 50.890900 1  ErrorFrame
 50.890914 1  ErrorFrame
 50.890927 1  ErrorFrame
 50.890940 1  ErrorFrame
 50.890954 1  ErrorFrame
 50.890965 1  ErrorFrame
 50.891709 1  ErrorFrame
 50.891743 1  ErrorFrame
 50.891766 1  ErrorFrame
 50.891780 1  ErrorFrame
 51.909414 1  ErrorFrame
 52.932761 1  ErrorFrame
 52.932812 1  ErrorFrame
 52.933194 1  ErrorFrame
 52.933206 1  ErrorFrame
 52.933213 1  ErrorFrame
 52.933220 1  ErrorFrame
 52.933227 1  ErrorFrame
 52.933740 1  ErrorFrame
 52.933751 1  ErrorFrame
 52.933758 1  ErrorFrame
 52.933768 1  ErrorFrame
 52.933774 1  ErrorFrame
 52.933784 1  ErrorFrame
 52.933791 1  ErrorFrame
 52.933888 1  ErrorFrame
 52.934105 1  ErrorFrame
 52.934117 1  ErrorFrame
 52.934282 1  ErrorFrame
 52.934291 1  ErrorFrame
 52.934469 1  ErrorFrame
 52.934482 1  ErrorFrame
 52.934658 1  ErrorFrame
 52.934667 1  ErrorFrame
 52.934833 1  ErrorFrame
 52.934844 1  ErrorFrame
 52.935024 1  ErrorFrame
 52.935033 1  ErrorFrame
 52.935282 1  ErrorFrame
 52.935293 1  ErrorFrame
 53.957413 1  ErrorFrame
 55.027893 1  ErrorFrame
 55.027930 1  ErrorFrame
 55.027939 1  ErrorFrame
 55.027946 1  ErrorFrame
 55.028731 1  ErrorFrame
 55.028760 1  ErrorFrame
 55.028768 1  ErrorFrame
 55.028775 1  ErrorFrame
 55.028784 1  ErrorFrame
 55.028792 1  ErrorFrame
 55.028800 1  ErrorFrame
 55.028809 1  ErrorFrame
 55.028817 1  ErrorFrame
 55.028825 1  ErrorFrame
 55.028832 1  ErrorFrame
 55.029085 1  ErrorFrame
 55.029098 1  ErrorFrame
 55.029105 1  ErrorFrame
 55.029244 1  ErrorFrame
 55.029535 1  ErrorFrame
 55.029552 1  ErrorFrame
 55.029736 1  ErrorFrame
 55.029745 1  ErrorFrame
 55.029925 1  ErrorFrame
 55.029934 1  ErrorFrame
 55.030188 1  ErrorFrame
 55.030199 1  ErrorFrame
 56.037449 1  ErrorFrame
 59.090407 1  ErrorFrame
 59.090581 1  ErrorFrame
 59.090594 1  ErrorFrame
 59.090605 1  ErrorFrame
 59.090616 1  ErrorFrame
 59.091354 1  ErrorFrame
 59.091374 1  ErrorFrame
 59.091388 1  ErrorFrame
 59.091400 1  ErrorFrame
 59.091411 1  ErrorFrame
 59.091422 1  ErrorFrame
 59.091439 1  ErrorFrame
 59.091722 1  ErrorFrame
 59.091740 1  ErrorFrame
 59.092374 1  ErrorFrame
 59.092392 1  ErrorFrame
 59.092402 1  ErrorFrame
 59.092412 1  ErrorFrame
 59.092423 1  ErrorFrame
 59.092435 1  ErrorFrame
 59.092772 1  ErrorFrame
 59.092791 1  ErrorFrame
 60.101430 1  ErrorFrame
 61.150334 1  ErrorFrame
 61.150410 1  ErrorFrame
 61.150426 1  ErrorFrame
 61.150439 1  ErrorFrame
 61.150454 1  ErrorFrame
 61.150469 1  ErrorFrame
 61.150482 1  ErrorFrame
 61.150497 1  ErrorFrame
 61.150510 1  ErrorFrame
 61.150521 1  ErrorFrame
 61.150533 1  ErrorFrame
 61.150545 1  ErrorFrame
